SPECIES,LO,HI,TIME_rel,KG_HR,DAYS,KG_HR_DAY
OCPA,>=0.8,<0.84,0.8,1.073333333,79,0.013586498
OCPA,>=0.84,<0.88,0.84,1.82,79,0.023037975
OCPA,>=0.88,<0.92,0.88,0.746666667,79,0.009451477
OCPA,>=0.92,<0.96,0.92,0.758333333,79,0.009599156
OCPA,>=0.96,<1,0.96,0,79,0
OCPA,>=1,<0,1,0,79,0
DHPA,>=0,<0.04,0,0.09,79,0.001139241
DHPA,>=0.04,<0.08,0.04,0,79,0
DHPA,>=0.08,<0.12,0.08,0.018,79,0.000227848
DHPA,>=0.12,<0.16,0.12,0.54,79,0.006835443
DHPA,>=0.16,<0.2,0.16,1.0566,79,0.013374684
DHPA,>=0.2,<0.24,0.2,0.3708,79,0.004693671
DHPA,>=0.24,<0.28,0.24,1.521,79,0.019253165
DHPA,>=0.28,<0.32,0.28,2.07,79,0.026202532
DHPA,>=0.32,<0.36,0.32,3.033,79,0.038392405
DHPA,>=0.36,<0.4,0.36,2.178,79,0.02756962
DHPA,>=0.4,<0.44,0.4,2.817,79,0.035658228
DHPA,>=0.44,<0.48,0.44,1.422,79,0.018
DHPA,>=0.48,<0.52,0.48,5.04,79,0.063797468
DHPA,>=0.52,<0.56,0.52,2.205,79,0.027911392
DHPA,>=0.56,<0.6,0.56,2.277,79,0.028822785
DHPA,>=0.6,<0.64,0.6,1.647,79,0.020848101
DHPA,>=0.64,<0.68,0.64,2.925,79,0.037025316
DHPA,>=0.68,<0.72,0.68,2.097,79,0.026544304
DHPA,>=0.72,<0.76,0.72,1.467,79,0.01856962
DHPA,>=0.76,<0.8,0.76,2.385,79,0.030189873
DHPA,>=0.8,<0.84,0.8,1.935,79,0.024493671
DHPA,>=0.84,<0.88,0.84,0.639,79,0.008088608
DHPA,>=0.88,<0.92,0.88,1.656,79,0.020962025
DHPA,>=0.92,<0.96,0.92,0.288,79,0.00364557
DHPA,>=0.96,<1,0.96,0,79,0
DHPA,>=1,<0,1,0,79,0
WBPA,>=0,<0.04,0,0.064583333,79,0.000817511
