ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,Lw,S1,Hwi,TWAi,E,CULM_SL,CULM_CL,MAND_SL,MAND_CL,SCMi,NOTES,RECORDER
90,Carnegie MNH,P44067,DHPA,Aratinga,weddellii,skin study,14,7.4,47.14285714,0.03108,--,2.03,2.4,1.51,1.4,3.54,left wing,KV
91,Carnegie MNH,P44067,DHPA,Aratinga,weddellii,skin study,14.2,7.7,45.77464789,0.032802,--,--,--,--,--,--,right wing,KV
92,Carnegie MNH,P44069,DHPA,Aratinga,weddellii,skin study,13.6,7.5,44.85294118,0.0306,--,2.158,2.3,1.455,1.3,3.613,left wing,KV
93,Carnegie MNH,P44069,DHPA,Aratinga,weddellii,skin study,13.3,7.7,42.10526316,0.030723,--,--,--,--,--,--,right wing,KV
94,Carnegie MNH,P44070,DHPA,Aratinga,weddellii,skin study,14.4,8,44.44444444,0.03456,--,1.98,2.2,1.36,1.3,3.34,left wing,KV
95,Carnegie MNH,P44070,DHPA,Aratinga,weddellii,skin study,14.6,7.9,45.89041096,0.034602,--,--,--,--,--,--,right wing,KV
96,Carnegie MNH,P79544,DHPA,Aratinga,weddellii,skin study,13.9,7.7,44.60431655,0.032109,--,2.03,2.2,1.398,1.4,3.428,left wing,KV
97,Carnegie MNH,P79544,DHPA,Aratinga,weddellii,skin study,13.5,7,48.14814815,0.02835,--,--,--,--,--,--,right wing,KV
98,Carnegie MNH,P79897,DHPA,Aratinga,weddellii,skin study,13.4,7.3,45.52238806,0.029346,--,2.031,2.3,1.353,1.5,3.384,left wing,KV
99,Carnegie MNH,P79897,DHPA,Aratinga,weddellii,skin study,13.8,7.7,44.20289855,0.031878,--,--,--,--,--,--,right wing,KV
100,Carnegie MNH,P79898,DHPA,Aratinga,weddellii,skin study,14.3,8.2,42.65734266,0.035178,--,2.076,2.5,1.434,1.5,3.51,left wing,KV
101,Carnegie MNH,P79898,DHPA,Aratinga,weddellii,skin study,14.4,8.4,41.66666667,0.036288,--,--,--,--,--,--,right wing,KV
102,Carnegie MNH,P94676,DHPA,Aratinga,weddellii,skin study,14.3,8,44.05594406,0.03432,--,1.99,2.2,2,1.7,3.99,left wing,KV
103,Carnegie MNH,P94676,DHPA,Aratinga,weddellii,skin study,13.7,7.7,43.79562044,0.031647,--,--,--,--,--,--,right wing,KV
104,Carnegie MNH,S14319,,Aratinga,mitrata,wing spread,--,--,--,--,24.8,--,--,--,--,--,left wing,KV
105,Carnegie MNH,S6633,,Aratinga,solstitialis,wing spread,--,--,--,--,20.1,--,--,--,--,--,left wing,KV
106,Carnegie MNH,P125060,CWPA,Brotogeris,cyanoptera,skin study,12.4,7.7,37.90322581,0.028644,--,1.91,2.5,1.04,1.2,2.95,left wing,KV
107,Carnegie MNH,P125060,CWPA,Brotogeris,cyanoptera,skin study,12.6,7.4,41.26984127,0.027972,--,--,--,--,--,--,right wing,KV
108,Carnegie MNH,P95683,CWPA,Brotogeris,cyanoptera,skin study,10.9,6.9,36.69724771,0.022563,--,1.7,2,0.86,1,2.56,left wing,KV
109,Carnegie MNH,P95683,CWPA,Brotogeris,cyanoptera,skin study,10.7,6.8,36.44859813,0.021828,--,--,--,--,--,--,right wing,KV
110,Carnegie MNH,P95790,CWPA,Brotogeris,cyanoptera,skin study,11.6,6.7,42.24137931,0.023316,--,1.81,2,1,1,2.81,left wing,KV
111,Carnegie MNH,P95790,CWPA,Brotogeris,cyanoptera,skin study,11.5,6.9,40,0.023805,--,--,--,--,--,--,right wing,KV
