ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,NOTES,MORPH,MEASURE
128,Carnegie MNH,P72387,GRMA,Orthopsittaca,manilatus,skin study,left wing,wing_Lw,24.600
129,Carnegie MNH,P72387,GRMA,Orthopsittaca,manilatus,skin study,right wing,wing_Lw,24.000
130,Carnegie MNH,P82626,GRMA,Orthopsittaca,manilatus,skin study,left wing,wing_Lw,21.600
131,Carnegie MNH,P82626,GRMA,Orthopsittaca,manilatus,skin study,right wing,wing_Lw,21.700
132,Carnegie MNH,S11732,GRMA,Orthopsittaca,manilatus,wing spread,left wing,wing_Lw,22.500
133,Carnegie MNH,S14824,GRMA,Orthopsittaca,manilatus,wing spread,left wing,wing_Lw,23.300
134,Carnegie MNH,S15493,GRMA,Orthopsittaca,manilatus,wing spread,left wing,wing_Lw,24.200
135,Carnegie MNH,S15494,GRMA,Orthopsittaca,manilatus,wing spread,right wing,wing_Lw,24.100
136,Carnegie MNH,P38342,WBPA,Pionites,leucogaster,skin study,left wing,wing_Lw,13.900
137,Carnegie MNH,P38342,WBPA,Pionites,leucogaster,skin study,right wing,wing_Lw,14.400
138,Carnegie MNH,P38425,WBPA,Pionites,leucogaster,skin study,left wing,wing_Lw,13.900
139,Carnegie MNH,P38425,WBPA,Pionites,leucogaster,skin study,right wing,wing_Lw,14.100
140,Carnegie MNH,P86662,WBPA,Pionites,leucogaster,skin study,left wing,wing_Lw,13.600
141,Carnegie MNH,P86662,WBPA,Pionites,leucogaster,skin study,right wing,wing_Lw,14.000
142,Carnegie MNH,S14378,,Pionites,melanocephalus,wing spread,left wing,wing_Lw,12.100
143,Carnegie MNH,S14823,,Pionites,melanocephalus,wing spread,right wing,wing_Lw,13.200
144,Carnegie MNH,S15576,,Pionites,melanocephalus,wing spread,left wing,wing_Lw,14.800
145,Carnegie MNH,P119787,BHPA,Pionus,menstruus,skin study,left wing,wing_Lw,18.800
146,Carnegie MNH,P119787,BHPA,Pionus,menstruus,skin study,right wing,wing_Lw,19.400
147,Carnegie MNH,P78906,BHPA,Pionus,menstruus,skin study,left wing,wing_Lw,17.700
148,Carnegie MNH,P78906,BHPA,Pionus,menstruus,skin study,right wing,wing_Lw,18.700
149,Carnegie MNH,P78938,BHPA,Pionus,menstruus,skin study,left wing,wing_Lw,18.100
150,Carnegie MNH,P78938,BHPA,Pionus,menstruus,skin study,right wing,wing_Lw,18.500
151,Carnegie MNH,P78939,BHPA,Pionus,menstruus,skin study,left wing,wing_Lw,18.500
152,Carnegie MNH,P78939,BHPA,Pionus,menstruus,skin study,right wing,wing_Lw,18.400
153,Carnegie MNH,S11335,BHPA,Pionus,menstruus,wing spread,left wing,wing_Lw,18.100
154,Carnegie MNH,P120511,WEPA,Psittacara,leucophthalmus,skin study,left wing,wing_Lw,16.800
155,Carnegie MNH,P120511,WEPA,Psittacara,leucophthalmus,skin study,right wing,wing_Lw,16.600
156,Carnegie MNH,P38274,WEPA,Psittacara,leucophthalmus,skin study,left wing,wing_Lw,16.500
157,Carnegie MNH,P38274,WEPA,Psittacara,leucophthalmus,skin study,right wing,wing_Lw,16.400
158,Carnegie MNH,P44074,WEPA,Psittacara,leucophthalmus,skin study,left wing,wing_Lw,18.100
159,Carnegie MNH,P44074,WEPA,Psittacara,leucophthalmus,skin study,right wing,wing_Lw,18.700
160,Carnegie MNH,P72833,WEPA,Psittacara,leucophthalmus,skin study,left wing,wing_Lw,16.100
161,Carnegie MNH,P72833,WEPA,Psittacara,leucophthalmus,skin study,right wing,wing_Lw,16.600
165,Carnegie MNH,P91957,OCPA,Pyrilia,barrabandi,skin study,left wing,wing_Lw,15.300
166,Carnegie MNH,P91957,OCPA,Pyrilia,barrabandi,skin study,right wing,wing_Lw,15.200
167,Carnegie MNH,P91958,OCPA,Pyrilia,barrabandi,skin study,left wing,wing_Lw,15.700
168,Carnegie MNH,P91958,OCPA,Pyrilia,barrabandi,skin study,right wing,wing_Lw,15.800
169,Carnegie MNH,P96921,OCPA,Pyrilia,barrabandi,skin study,left wing,wing_Lw,16.600
170,Carnegie MNH,P96921,OCPA,Pyrilia,barrabandi,skin study,right wing,wing_Lw,16.200
171,Florida MNH,10046,MEPA,Amazona,farinosa,skin study,left wing,wing_S1,16.600
172,Florida MNH,10046,MEPA,Amazona,farinosa,skin study,right wing,wing_S1,16.400
173,Florida MNH,12524,BYMA,Ara,ararauna,skin study,right wing,wing_S1,24.600
174,Florida MNH,12524,BYMA,Ara,ararauna,skin study,left wing,wing_S1,24.500
