DATE,TIME,TYPE,CAUSE,CATEGORY,ALARM
7/26/99,6:27,ccollpa,na,na,na
7/26/99,6:30,ccollpa,na,na,na
7/26/99,6:32,ccollpa,na,na,na
7/26/99,6:59,ccollpa,na,na,na
7/26/99,7:06,ccollpa,na,na,na
7/26/99,7:15,ccollpa,na,na,na
7/26/99,7:20,ccollpa,na,na,na
7/26/99,7:30,ccollpa,boat,human,na
7/31/99,6:28,ccollpa,na,na,na
7/31/99,6:34,ccollpa,na,na,na
7/31/99,6:38,ccollpa,na,na,na
7/31/99,6:51,ccollpa,na,na,na
7/31/99,6:54,ccollpa,na,na,WEPA
7/31/99,6:55,ccollpa,na,na,na
7/31/99,6:57,ccollpa,na,na,na
7/31/99,7:01,ccollpa,rockfall,natural,na
7/31/99,7:20,ccollpa,na,na,MEPA
7/31/99,8:39,ccollpa,na,na,na
7/31/99,8:39,tree,na,na,na
7/31/99,10:16,tree,rockfall,natural,na
7/31/99,10:24,ccollpa,na,na,na
7/31/99,10:44,tree,na,na,na
7/31/99,10:55,ccollpa,na,na,na
7/31/99,10:57,tree,na,na,na
7/31/99,11:10,ccollpa,na,na,na
7/31/99,11:15,ccollpa,na,na,na
7/31/99,11:43,ccollpa,na,na,na
7/31/99,11:58,ccollpa,na,na,na
7/31/99,12:17,ccollpa,trail,human,na
7/31/99,14:28,ccollpa,na,na,na
7/31/99,14:52,ccollpa,na,na,na
7/31/99,15:24,tree,rockfall,natural,na
8/1/99,6:13,ccollpa,raptor,natural,na
8/1/99,6:15,ccollpa,na,na,na
8/1/99,6:23,ccollpa,na,na,na
8/1/99,6:23,tree,na,na,na
8/1/99,6:31,tree,na,na,na
8/1/99,6:36,ccollpa,na,na,na
8/1/99,6:38,ccollpa,na,na,na
8/1/99,6:43,ccollpa,na,na,na
8/1/99,6:45,ccollpa,na,na,na
8/1/99,6:51,ccollpa,rockfall,natural,na
8/1/99,6:58,ccollpa,na,na,BYMA
8/1/99,6:58,tree,na,na,BYMA
8/1/99,11:15,tree,raptor,natural,na
8/1/99,14:34,ccollpa,boat,human,na
8/2/99,6:14,ccollpa,na,na,na
8/2/99,6:19,ccollpa,na,na,na
8/2/99,6:22,ccollpa,na,na,na
8/2/99,6:25,ccollpa,na,na,na
8/2/99,6:25,tree,na,na,na
8/2/99,6:28,tree,na,na,na
8/2/99,6:28,ccollpa,na,na,na
8/2/99,6:36,tree,guan,natural,na
8/2/99,6:36,ccollpa,na,na,na
8/2/99,6:47,ccollpa,na,na,na
8/2/99,6:50,tree,na,na,na
8/2/99,6:50,ccollpa,na,na,na
8/2/99,7:07,tree,na,na,na
8/2/99,13:59,tree,na,na,na
8/2/99,13:59,ccollpa,na,na,na
8/2/99,14:06,ccollpa,na,na,na
8/2/99,14:30,ccollpa,na,na,na
8/2/99,14:46,ccollpa,na,na,na
8/2/99,14:57,ccollpa,na,na,na
8/2/99,15:04,ccollpa,na,na,na
8/2/99,15:05,ccollpa,na,na,na
8/3/99,6:26,ccollpa,na,na,na
8/3/99,6:27,ccollpa,na,na,na
8/3/99,6:28,ccollpa,na,na,na
8/3/99,6:32,ccollpa,na,na,na
8/3/99,6:35,ccollpa,na,na,na
8/3/99,6:36,ccollpa,na,na,na
8/3/99,6:38,ccollpa,na,na,na
8/3/99,6:43,ccollpa,na,na,na
8/3/99,6:46,ccollpa,na,na,na
8/3/99,6:49,ccollpa,na,na,na
8/3/99,6:55,ccollpa,na,na,na
8/3/99,6:56,ccollpa,na,na,na
8/3/99,6:59,ccollpa,na,na,na
8/3/99,7:01,ccollpa,na,na,na
8/3/99,7:06,ccollpa,na,na,na
8/3/99,7:09,ccollpa,na,na,na
8/3/99,12:05,ccollpa,na,na,na
8/3/99,14:28,tree,boat,human,na
8/3/99,14:29,tree,boat,human,na
8/3/99,14:29,ccollpa,boat,human,na
8/3/99,14:38,ccollpa,boat,human,na
8/3/99,14:41,tree,boat,human,na
8/4/99,6:07,ccollpa,na,na,na
8/4/99,6:11,ccollpa,na,na,na
8/4/99,6:16,ccollpa,na,na,na
8/4/99,6:17,tree,na,na,na
8/4/99,6:21,ccollpa,na,na,na
8/4/99,6:23,ccollpa,na,na,na
8/4/99,6:40,ccollpa,na,na,na
8/4/99,6:40,ccollpa,na,na,na
8/4/99,6:49,ccollpa,na,na,na
8/4/99,6:53,ccollpa,na,na,na
8/4/99,6:54,ccollpa,na,na,na
8/4/99,6:57,ccollpa,na,na,na
8/4/99,7:01,ccollpa,na,na,na
8/4/99,7:06,ccollpa,na,na,na
8/4/99,7:12,ccollpa,na,na,na
8/4/99,7:14,ccollpa,na,na,na
8/4/99,7:17,ccollpa,na,na,na
8/5/99,6:15,ccollpa,na,na,na
8/5/99,6:19,ccollpa,na,na,na
8/5/99,6:23,ccollpa,na,na,na
8/5/99,6:25,ccollpa,na,na,na
8/5/99,6:27,ccollpa,na,na,na
8/5/99,6:27,tree,na,na,na
8/5/99,6:31,ccollpa,na,na,na
8/5/99,6:33,ccollpa,na,na,na
8/5/99,6:33,ccollpa,na,na,na
8/5/99,6:35,ccollpa,na,na,na
8/5/99,6:39,ccollpa,na,na,na
8/5/99,6:41,ccollpa,na,na,na
8/5/99,6:45,ccollpa,na,na,na
8/5/99,6:50,ccollpa,na,na,na
8/5/99,6:55,ccollpa,na,na,na
8/5/99,6:57,ccollpa,na,na,na
8/5/99,7:05,ccollpa,na,na,na
8/5/99,7:05,tree,na,na,na
8/6/99,6:11,ccollpa,na,na,na
8/6/99,6:12,ccollpa,boat,human,na
8/6/99,6:14,ccollpa,na,na,na
8/6/99,6:18,ccollpa,na,na,na
8/6/99,6:18,tree,boat,human,na
8/6/99,6:29,ccollpa,na,na,na
8/6/99,6:36,ccollpa,trail,human,na
